점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자,제공기관코드,제공기관명
GS25 구월문화,인천광역시,남동구,35300,인천광역시 남동구 문화로 87,인천광역시 남동구 구월동 1371-19,37.446910,126.698980,032-426-2241,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
GS25 구월명일,인천광역시,남동구,35300,"인천광역시 남동구 구월남로 182, 105호",인천광역시 남동구 구월동 1199-2,37.452750,126.709610,032-421-4456,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
GS25 구월길목,인천광역시,남동구,35300,"인천광역시 남동구 인주대로604번길 15, 1층",인천광역시 남동구 구월동 1147-2,37.4491394933,126.704030,032-425-1824,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
GS25 고잔엘아이,인천광역시,남동구,35300,"인천광역시 남동구 호구포로 50, 1층 M14호, LI지식산업센터",인천광역시 남동구 고잔동 736-4,37.389120,126.700780,032-818-7470,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
GS25 간석타임,인천광역시,남동구,35300,인천광역시 남동구 백범로 331,인천광역시 남동구 간석동 123-1,37.464110,126.713370,032-421-8911,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
GS25 간석이화,인천광역시,남동구,35300,"인천광역시 남동구 남동대로916번길 40, 1층",인천광역시 남동구 간석동 182-13,37.463760,126.710510,032-437-7960,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
GS25 간석오피앙,인천광역시,남동구,35300,"인천광역시 남동구 경인로 617, 오피앙B 제1층 101호",인천광역시 남동구 간석동 249-5,37.465550,126.706040,032-433-4260,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
GS25 간석오거리,인천광역시,남동구,35300,"인천광역시 남동구 백범로 404, 105호",인천광역시 남동구 간석동 216-11,37.467710,126.706550,032-442-3846,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
GS25 간석서해,인천광역시,남동구,35300,인천광역시 남동구 구월로137번길 26,인천광역시 남동구 간석동 356,37.458090,126.705710,032-422-8859,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
GS25 간석마루,인천광역시,남동구,35300,"인천광역시 남동구 구월로8번길 98, 1층",인천광역시 남동구 간석동 508-25,37.456240,126.696510,032-433-8594,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
GS25 간석래미안점,인천광역시,남동구,35300,인천광역시 남동구 석산로 176,인천광역시 남동구 간석동 939-1,37.4604633938,126.7117284725,032-499-0724,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
GS25 간석갤럭시,인천광역시,남동구,35300,"인천광역시 남동구 남동대로921번길 1, 1층",인천광역시 남동구 간석동 277-1,37.464610,126.707730,032-433-5111,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
GS25 만수조동,인천광역시,남동구,35300,"인천광역시 남동구 백범로124번길 162,상가동1층 4호",인천광역시 남동구 만수동 12,37.459990,126.739990,,인천남동경찰서,2018,Y,2026-01-01,3530000,인천광역시 남동구
GS25 구월개나리,인천광역시,남동구,35300,인천광역시 남동구 인주대로 660,인천광역시 남동구 구월동 279-6,37.4493081839,126.710390,,인천남동경찰서,2018,Y,2026-01-01,3530000,인천광역시 남동구
CU 뉴구월아시아드점,인천광역시,남동구,35300,"인천광역시 남동구 선수촌로 7, 구월아시아드선수촌7단지",인천광역시 남동구 구월동 1551,37.440170,126.7136432705,,인천남동경찰서,2025,Y,2026-01-01,3530000,인천광역시 남동구
CU 남촌별빛점,인천광역시,남동구,35300,"인천광역시 남동구 남촌로 98, 1층",인천광역시 남동구 남촌동 295-3,37.4297342437,126.714100,,인천논현경찰서,2025,Y,2026-01-01,3530000,인천광역시 남동구
CU 인천비발디점,인천광역시,남동구,35300,인천광역시 남동구 백범로226번길 64,인천광역시 남동구 만수동 854,37.4629403214,126.725300,,인천남동경찰서,2024,Y,2026-01-01,3530000,인천광역시 남동구
CU 논현한라점,인천광역시,남동구,35300,인천광역시 남동구 포구로 64-8,인천광역시 남동구 논현동 549,37.4045592428,126.737428637,,인천논현경찰서,2024,Y,2026-01-01,3530000,인천광역시 남동구
CU 논현유호점,인천광역시,남동구,35300,"인천광역시 남동구 포구로 35, 논현유호엔시티 1단지",인천광역시 남동구 논현동 66-24,37.4011609012,126.7380513904,,인천논현경찰서,2024,Y,2026-01-01,3530000,인천광역시 남동구
CU 논현아트점,인천광역시,남동구,35300,인천광역시 남동구 소래역동로 14,인천광역시 남동구 논현동 665-6,37.403170,126.7338846954,,인천논현경찰서,2024,Y,2026-01-01,3530000,인천광역시 남동구
CU 논현아이플렉스점,인천광역시,남동구,35300,인천광역시 남동구 논고개로123번길 17,인천광역시 남동구 논현동 632-2,37.4016848855,126.7230837044,,인천논현경찰서,2024,Y,2026-01-01,3530000,인천광역시 남동구
CU 논현사리울점,인천광역시,남동구,35300,"인천광역시 남동구 함박뫼로 437, 논현주공2단지아파트 상가",인천광역시 남동구 논현동 563-6,37.4096308546,126.711170,,인천논현경찰서,2024,Y,2026-01-01,3530000,인천광역시 남동구
CU 논현가온시티점,인천광역시,남동구,35300,인천광역시 남동구 소래역남로16번길 39,인천광역시 남동구 논현동 751-2,37.3988887071,126.7346825598,,인천논현경찰서,2024,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월해피점,인천광역시,남동구,35300,인천광역시 남동구 성말로 33,인천광역시 남동구 구월동 1163-13,37.4453699705,126.704520,,인천남동경찰서,2024,Y,2026-01-01,3530000,인천광역시 남동구
CU 간석사랑점,인천광역시,남동구,35300,인천광역시 남동구 남동대로915번길 10,인천광역시 남동구 간석동 277-4,37.4645234776,126.707430,,인천남동경찰서,2024,Y,2026-01-01,3530000,인천광역시 남동구
CU 간석메인점,인천광역시,남동구,35300,인천광역시 남동구 석촌로 24,인천광역시 남동구 간석동 186-10,37.4626868544,126.7091710419,,인천남동경찰서,2024,Y,2026-01-01,3530000,인천광역시 남동구
CU 간석리더스점,인천광역시,남동구,35300,인천광역시 남동구 경인로 620-1,인천광역시 남동구 간석동 316-5,37.465210,126.7067514485,,인천남동경찰서,2024,Y,2026-01-01,3530000,인천광역시 남동구
CU 서창센트라스점,인천광역시,남동구,35300,"인천광역시 남동구 서창남순환로215번길 35, 승민프라자 1층",인천광역시 남동구 서창동690-3,37.425490,126.747060,,인천논현경찰서,2023,Y,2026-01-01,3530000,인천광역시 남동구
CU 남촌풍림행복점,인천광역시,남동구,35300,인천광역시 남동구 남촌로84번길 47,인천광역시 남동구 남촌동 275-5,37.429580,126.717330,,인천논현경찰서,2023,Y,2026-01-01,3530000,인천광역시 남동구
CU 남동서창점,인천광역시,남동구,35300,인천광역시 남동구 장아산로 186,인천광역시 남동구 서창동 565-7,37.434910,126.751490,032-471-8185,인천논현경찰서,2023,Y,2026-01-01,3530000,인천광역시 남동구
CU 남동도림점,인천광역시,남동구,35300,인천광역시 남동구 도림로27,인천광역시 남동구 도림동 666-9,37.419020,126.727890,,인천논현경찰서,2023,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월호산나점,인천광역시,남동구,35300,인천광역시 남동구 남동대로774번길 47,인천광역시 남동구 구월동1202-5,37.451350,126.710690,1577-8007,인천남동경찰서,2023,Y,2026-01-01,3530000,인천광역시 남동구
CU 만수한국점,인천광역시,남동구,35300,인천광역시 남동구 담방로21번길 3,인천광역시 남동구 만수동 1045,37.441240,126.738530,,인천남동경찰서,2022,Y,2026-01-01,3530000,인천광역시 남동구
CU 만수삼환점,인천광역시,남동구,35300,인천광역시 남동구 소래로669번길 41,인천광역시 남동구 만수동 983,37.449830,126.732010,050-7147-8479,인천남동경찰서,2022,Y,2026-01-01,3530000,인천광역시 남동구
CU 만수남동점,인천광역시,남동구,35300,인천광역시 남동구 장승남로33번길 23,인천광역시 남동구 만수동 1014,37.445050,126.734500,,인천남동경찰서,2022,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월모래내점,인천광역시,남동구,35300,인천광역시 남동구 구월남로 293-1,인천광역시 남동구 구월동 349-420,37.452170,126.722430,032-463-4454,인천남동경찰서,2022,Y,2026-01-01,3530000,인천광역시 남동구
CU 서창허브,인천광역시,남동구,35300,인천광역시 남동구 서창방산로158번길 2,인천광역시 남동구 서창동 731,37.427130,126.759720,032-465-6100,인천논현경찰서,2021,Y,2026-01-01,3530000,인천광역시 남동구
CU 서창그린,인천광역시,남동구,35300,"인천광역시 남동구 서창남로 19, 서창LH11단지 상가",인천광역시 남동구 서창동 715,37.421420,126.751430,,인천논현경찰서,2021,Y,2026-01-01,3530000,인천광역시 남동구
CU 만수정광,인천광역시,남동구,35300,인천광역시 남동구 만수서로105번길 48,인천광역시 남동구 만수동 3-9,37.462860,126.739910,032-222-9115,인천남동경찰서,2021,Y,2026-01-01,3530000,인천광역시 남동구
CU 만수복개천,인천광역시,남동구,35300,인천광역시 남동구 복개서로 31,인천광역시 남동구 구월동 1310,37.450460,126.726190,032-464-3825,인천남동경찰서,2021,Y,2026-01-01,3530000,인천광역시 남동구
CU 만수대로,인천광역시,남동구,35300,"인천광역시 남동구 백범로123,1층",인천광역시 남동구 만수동 956-2,37.454610,126.733140,032-469-6204,인천남동경찰서,2021,Y,2026-01-01,3530000,인천광역시 남동구
CU 만수공원,인천광역시,남동구,35300,인천광역시 남동구 만경로12번길 29,인천광역시 남동구 만수동 882-34,37.456540,126.728750,032-464-3557,인천남동경찰서,2021,Y,2026-01-01,3530000,인천광역시 남동구
CU 만수3지구,인천광역시,남동구,35300,"인천광역시 남동구 장승로45, 1층 103호",인천광역시 남동구 만수동 1089-7,37.445450,126.737690,032-461-2602,인천남동경찰서,2021,Y,2026-01-01,3530000,인천광역시 남동구
CU 만수2동점,인천광역시,남동구,35300,인천광역시 남동구 만수로75번길 71-2,인천광역시 남동구 만수동 산 19-1,37.465540,126.736010,032-463-0041,인천남동경찰서,2021,Y,2026-01-01,3530000,인천광역시 남동구
CU 만수,인천광역시,남동구,35300,인천광역시 남동구 담방로 50(만수동),인천광역시 남동구 만수동 1025-9,37.444030,126.739010,,인천남동경찰서,2021,Y,2026-01-01,3530000,인천광역시 남동구
CU 남촌중앙점,인천광역시,남동구,35300,인천광역시 남동구 남촌동로46번길 4,인천광역시 남동구 남촌동 349-13,37.431870,126.713850,032-463-0990,인천남동경찰서,2021,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월중앙점,인천광역시,남동구,35300,인천광역시 남동구 남동대로747번길 29,인천광역시 남동구 구월동 201-39,37.449080,126.705590,032-446-7235,인천남동경찰서,2021,Y,2026-01-01,3530000,인천광역시 남동구
CU 타워플러스점,인천광역시,남동구,35300,인천광역시 남동구 구월남로 148,인천광역시 남동구 구월동 1142-20,37.452780,126.705930,032-433-3423,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 인천휴먼시아점,인천광역시,남동구,35300,인천광역시 남동구 만수서로83번길 45,인천광역시 남동구 만수동 1115-1,37.4634304035,126.733600,032-468-7811,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 인천논현점,인천광역시,남동구,35300,인천광역시 남동구 논고개로 114,인천광역시 남동구 논현동 616-3,37.401440,126.724670,,인천논현경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 서창베스트점,인천광역시,남동구,35300,인천광역시 남동구 서창남순환로 82,인천광역시 남동구 서창동 640,37.431410,126.747740,032-426-5900,인천논현경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 서창2지구점,인천광역시,남동구,35300,인천광역시 남동구 서창남로 42,인천광역시 남동구 서창동 664-5,37.423490,126.750960,032-464-2092,인천논현경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 만수사랑점,인천광역시,남동구,35300,인천광역시 남동구 구월말로103번길 25,인천광역시 남동구 만수동 903,37.458180,126.723880,032-465-7761,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 만수대성점,인천광역시,남동구,35300,인천광역시 남동구 서판로 50,인천광역시 남동구 만수동 844-1,37.4638961558,126.7252340369,032-468-6747,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 동원베네스트점,인천광역시,남동구,35300,인천광역시 남동구 논현로46번길 39,인천광역시 남동구 논현동 642-2,37.400240,126.710190,032-433-3606,인천논현경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 논현하늘점,인천광역시,남동구,35300,인천광역시 남동구 논현로 45,인천광역시 남동구 논현동 635-1,37.403440,126.714570,032-422-8882,인천논현경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 논현주공점,인천광역시,남동구,35300,인천광역시 남동구 논현로 45,인천광역시 남동구 논현동 635-1,37.403440,126.714570,,인천논현경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 논현베스트점,인천광역시,남동구,35300,인천광역시 남동구 은봉로312번길 32,인천광역시 남동구 논현동 608-8,37.404310,126.724810,032-435-7077,인천논현경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 논현대진점,인천광역시,남동구,35300,인천광역시 남동구 호구포로 214,인천광역시 남동구 논현동 636-5,37.401990,126.710070,032-432-6120,인천논현경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 논현단풍점,인천광역시,남동구,35300,인천광역시 남동구 소래역로 94,인천광역시 남동구 논현동 602-1,37.405680,126.734380,070-8844-5336,인천논현경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 논현가산시티점,인천광역시,남동구,35300,인천광역시 남동구 앵고개로847번길 80-9,인천광역시 남동구 논현동 741-1,37.399297176,126.723500,032-255-2611,인천논현경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월호텔점,인천광역시,남동구,35300,인천광역시 남동구 선수촌공원로23번길 1,인천광역시 남동구 구월동 1543-2,37.440890,126.709710,032-472-9980,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월형제점,인천광역시,남동구,35300,인천광역시 남동구 남동대로725번길 5,인천광역시 남동구 구월동 1157-3,37.447060,126.706610,032-426-5827,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월태양점,인천광역시,남동구,35300,인천광역시 남동구 구월말로3번길 44,인천광역시 남동구 구월동 1279-17,37.449440,126.721830,032-463-1348,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월타운점,인천광역시,남동구,35300,인천광역시 남동구 인주대로591번길 64,인천광역시 남동구 구월동 1132,37.452990,126.703160,032-426-1519,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월예술회관점,인천광역시,남동구,35300,인천광역시 남동구 인주대로 582,인천광역시 남동구 구월동 1126-1,37.449780,126.701590,032-435-1015,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월안다미로점,인천광역시,남동구,35300,인천광역시 남동구 인주대로503번길 8,인천광역시 남동구 구월동 1118-2,37.451030,126.692760,032-424-8594,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월아이비점,인천광역시,남동구,35300,인천광역시 남동구 구월로 268,인천광역시 남동구 구월동 1264-73,37.455610,126.7202966761,032-426-3345,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월아시아드점,인천광역시,남동구,35300,"인천광역시 남동구 선수촌로 8, 101, 102호",인천광역시 남동구 구월동 1554,37.4410966762,126.716930,,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 구월다우림점,인천광역시,남동구,35300,인천광역시 남동구 용천로4번길 63-21,인천광역시 남동구 구월동 1237-1,37.450640,126.717710,032-467-5653,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 간석에이스점,인천광역시,남동구,35300,인천광역시 남동구 석정로565번길 11,인천광역시 남동구 간석동 609-2,37.467120,126.697830,032-426-3345,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
CU 간석신동아점,인천광역시,남동구,35300,인천광역시 남동구 경원대로 937,인천광역시 남동구 간석동 616-24,37.4664445239,126.689870,,인천남동경찰서,2019,Y,2026-01-01,3530000,인천광역시 남동구
세븐일레븐 화곡5호점,서울특별시,강서구,11500,서울특별시 강서구 강서로17길 62,,37.53265090,126.84235900,02-2698-4935,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
CU 화곡양서점,서울특별시,강서구,11500,서울특별시 강서구 가로공원로84길 82,,37.53413510,126.84190230,02-2603-2387,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 화곡까치산점,서울특별시,강서구,11500,서울특별시 강서구 강서로17길 29,,37.53258930,126.84422160,,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 화곡베스트점,서울특별시,강서구,11500,서울특별시 강서구 월정로 112,,37.52916080,126.83898110,02-2690-4625,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 화곡달빛점,서울특별시,강서구,11500,서울특별시 강서구 곰달래로16길 29,,37.52875910,126.84038290,,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 화곡영광점,서울특별시,강서구,11500,서울특별시 강서구 곰달래로 88,,37.53016410,126.84264640,02-2606-0969,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
세븐일레븐 등촌5호점,서울특별시,강서구,11500,서울특별시 강서구 강서로68길 12,,37.56621980,126.84155070,02-3662-1609,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
세븐일레븐 화곡제일점,서울특별시,강서구,11500,서울특별시 강서구 초록마을로 3,,37.54508150,126.84508060,,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
세븐일레븐 화곡본동점,서울특별시,강서구,11500,서울특별시 강서구 초록마을로14길 37,,37.54090710,126.84848500,,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
세븐일레븐 방화삼익점,서울특별시,강서구,11500,서울특별시 강서구 방화대로47가길 22,,37.57709890,126.81397820,02-2665-8662,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
세븐일레븐 공항점,서울특별시,강서구,11500,서울특별시 강서구 방화대로6나길 1,,37.55505590,126.81682410,02-2666-5872,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
세븐일레븐 까치산점,서울특별시,강서구,11500,서울특별시 강서구 강서로7길 19,,37.52949800,126.84669200,02-2608-0511,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 공항소담점,서울특별시,강서구,11500,서울특별시 강서구 방화대로6라길 26,,37.55614290,126.81850690,02-2663-8942,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 강서자이타워점,서울특별시,강서구,11500,서울특별시 강서구 양천로 401,,37.56570110,126.84764410,,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 강서하늘점,서울특별시,강서구,11500,"서울특별시 강서구 양천로10길 38, 105동 상가 107호",,37.57122780,126.80817950,02-2664-2468,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
세븐일레븐 화곡행복점,서울특별시,강서구,11500,서울특별시 강서구 등촌로13길 90,,37.53719960,126.85937600,,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 화곡으뜸점,서울특별시,강서구,11500,서울특별시 강서구 우장산로 125,,37.55326800,126.84997710,02-2694-2526,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 화곡월정점,서울특별시,강서구,11500,서울특별시 강서구 가로공원로76길 100,,37.53282370,126.83883540,02-2606-2163,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 화곡비전점,서울특별시,강서구,11500,서울특별시 강서구 강서로18바길 2,,37.53522840,126.85015630,02-2604-7912,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 화곡도담점,서울특별시,강서구,11500,서울특별시 강서구 화곡로44가길 43,,37.54968890,126.84849150,02-2603-3647,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 발산1단지점,서울특별시,강서구,11500,서울특별시 강서구 강서로47길 108,,37.55356540,126.83053420,02-2667-7377,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 강서메트로칸점,서울특별시,강서구,11500,서울특별시 강서구 공항대로45가길 11,,37.55606350,126.85367780,,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
GS25 화곡문화점,서울특별시,강서구,11500,서울특별시 강서구 강서로 136,,37.53916210,126.84241900,,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
CU 화곡영광점,서울특별시,강서구,11500,서울특별시 강서구 곰달래로53길 121,,37.53629170,126.85602250,02-2646-7816,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
CU 화곡보리점,서울특별시,강서구,11500,서울특별시 강서구 화곡로51길 13,,37.55043330,126.84734950,02-2698-7742,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
CU 화곡대원점,서울특별시,강서구,11500,서울특별시 강서구 화곡로21길 43,,37.54274210,126.83644700,02-2065-8748,서울강서경찰서,,Y,2026-01-15,3150000,서울특별시 강서구
세븐일레븐 용산2가동점,서울특별시,용산구,11170,서울특별시 용산구 소월로20길 70,,37.53428326,127.0100947,,용중지구대,,Y,2026-01-31,3020000,서울특별시 용산구
세븐일레븐 한남UN점,서울특별시,용산구,11170,서울특별시 용산구 독서당로 86,,37.53428326,127.0100947,02-792-5860,한남파출소,,Y,2026-01-31,3020000,서울특별시 용산구
세븐일레븐 청파제일점,서울특별시,용산구,11170,서울특별시 용산구 청파로73길 7,,37.54980958,126.9692222,02-701-2817,원효지구대,,Y,2026-01-31,3020000,서울특별시 용산구
세븐일레븐 원효로점,서울특별시,용산구,11170,서울특별시 용산구 원효로53길 8,,37.53602358,126.9621284,02-711-3073,원효지구대,,Y,2026-01-31,3020000,서울특별시 용산구
세븐일레븐 용산아크로타워점,서울특별시,용산구,11170,서울특별시 용산구 백범로90길 26,,37.53659919,126.9684484,02-711-0703,원효지구대,,Y,2026-01-31,3020000,서울특별시 용산구
세븐일레븐 용산아이파크몰점,서울특별시,용산구,11170,서울특별시 용산구 한강대로23길 55,,37.5297718,126.9647415,02-2012-1313,용산역파출소,,Y,2026-01-31,3020000,서울특별시 용산구
세븐일레븐 용산서부이촌점,서울특별시,용산구,11170,서울특별시 용산구 이촌로14길 11-6,,37.52706793,126.9543224,02-701-0618,용산역파출소,,Y,2026-01-31,3020000,서울특별시 용산구
세븐일레븐 용산보광점,서울특별시,용산구,11170,서울특별시 용산구 우사단로 2가길 6,,37.5297649,126.9994538,1577-0711,이태원파출소,,Y,2026-01-31,3020000,서울특별시 용산구
세븐일레븐 숙대사랑점,서울특별시,용산구,11170,서울특별시 용산구 청파로47나길 35,,37.5464408,126.9674086,02-714-5315,원효지구대,,Y,2026-01-31,3020000,서울특별시 용산구
세븐일레븐 서울역점,서울특별시,용산구,11170,서울특별시 용산구 청파로 395,,37.55486721,126.9687441,02-3275-3220,원효지구대,,Y,2026-01-31,3020000,서울특별시 용산구
세븐일레븐 산천점,서울특별시,용산구,11170,서울특별시 용산구 효창원로 18,,37.53444734,126.9516903,02-719-8691,원효지구대,,Y,2026-01-31,3020000,서울특별시 용산구
세븐일레븐 보광우사단로점,서울특별시,용산구,11170,서울특별시 용산구 우사단로2길 12,,37.53056757,126.997403,02-790-2848,보광파출소,,Y,2026-01-31,3020000,서울특별시 용산구
GS25 용산그린,서울특별시,용산구,11170,서울특별시 용산구 두텁바위로 13,,37.5455079,126.9739182,02-771-3583,용중지구대,,Y,2026-01-31,3020000,서울특별시 용산구
GS25 서빙고로점,서울특별시,용산구,11170,서울특별시 용산구 서빙고로 75길 11-2,,37.52193406,126.9966567,1644-5425,이태원파출소,,Y,2026-01-31,3020000,서울특별시 용산구
CU 후암제일점,서울특별시,용산구,11170,서울특별시 용산구 후암로 28길 49,,37.54940437,126.9799755,1577-8007,용중지구대,,Y,2026-01-31,3020000,서울특별시 용산구
CU 이태원힐점,서울특별시,용산구,11170,서울특별시 용산구 우사단로4길 1,,37.5315055,126.9967388,02-790-6455,이태원파출소,,Y,2026-01-31,3020000,서울특별시 용산구
CU 이태원햇살점,서울특별시,용산구,11170,서울특별시 용산구 녹사평대로40나길 53,,37.53689993,126.9887566,02-790-9413,이태원파출소,,Y,2026-01-31,3020000,서울특별시 용산구
CU 원효대로점,서울특별시,용산구,11170,서울특별시 용산구 원효로 154,,37.53442392,126.9604217,02-702-7773,원효지구대,,Y,2026-01-31,3020000,서울특별시 용산구
CU 용산해방촌점,서울특별시,용산구,11170,서울특별시 용산구 신흥로7길 1,,37.54192348,126.9871809,02-749-4634,용중지구대,,Y,2026-01-31,3020000,서울특별시 용산구
CU 용산한강진,서울특별시,용산구,11170,서울특별시 용산구 이태원로54길 11,,37.53788452,127.0020955,02-749-1451,한남파출소,,Y,2026-01-31,3020000,서울특별시 용산구
CU 용산한강로점,서울특별시,용산구,11170,서울특별시 용산구 한강대로43길 13,,37.53156323,126.9691466,02-795-4163,용산역파출소,,Y,2026-01-31,3020000,서울특별시 용산구
CU 용산자이점,서울특별시,용산구,11170,서울특별시 용산구 삼개로 60,,37.53507154,126.9476429,02-711-5386,원효지구대,,Y,2026-01-31,3020000,서울특별시 용산구
CU 용산원효로점,서울특별시,용산구,11170,서울특별시 용산구 원효로 73,,37.53276301,126.9521321,02-704-4827,원효지구대,,Y,2026-01-31,3020000,서울특별시 용산구
CU 용산보광점,서울특별시,용산구,11170,서울특별시 용산구 장문로 119,,37.52710413,127.002494,02-794-2124,보광파출소,,Y,2026-01-31,3020000,서울특별시 용산구
CU 용산2가점,서울특별시,용산구,11170,서울특별시 용산구 소월로20길 53,,37.54424533,126.9846794,1577-8007,용중지구대,,Y,2026-01-31,3020000,서울특별시 용산구
CU 신용산점,서울특별시,용산구,11170,서울특별시 용산구 한강대로 142,,37.53189541,126.9708175,02-795-0058,한강로파출소,,Y,2026-01-31,3020000,서울특별시 용산구
CU 이촌한강점,서울특별시,용산구,11170,서울특별시 용산구 이촌로 248,,37.51938659,126.975026,02-792-2686,이촌파출소,,Y,2026-01-31,3020000,서울특별시 용산구
GS25 한밭대학사점,대전광역시,유성구,30200,대전광역시 유성구 학하서로121번길 142(덕명동),대전광역시 유성구 덕명동 597-4,36.348583,127.2987924,042-826-2515,대전유성경찰서 복용지구대,,Y,2026-01-13,3670000,대전광역시 유성구
CU 유성장대점,대전광역시,유성구,30200,대전광역시 유성구 유성대로730번길 96(장대동),대전광역시 유성구 장대동 286-1,36.357674,127.338066,042-824-5487,대전유성경찰서 유성지구대,,Y,2026-01-13,3670000,대전광역시 유성구
세븐일레븐 대전장대점,대전광역시,유성구,30200,대전광역시 유성구 온천서로 38(장대동),대전광역시 유성구 장대동 375-9,36.35771836,127.340038,042-825-5711,대전유성경찰서 유성지구대,,N,2026-01-13,3670000,대전광역시 유성구
세븐일레븐 유성한빛점,대전광역시,유성구,30200,대전광역시 유성구 어은로57번길 3(어은동),대전광역시 유성구 어은동 108-4,36.363046,127.3563413,042-861-2695,대전유성경찰서 도룡지구대,,Y,2026-01-13,3670000,대전광역시 유성구
세븐일레븐 대덕연구단지점,대전광역시,유성구,30200,대전광역시 유성구 어은로48번길 1(어은동),대전광역시 유성구 어은동 110-7,36.362754,127.357189,042-862-0020,대전유성경찰서 도룡지구대,,Y,2026-01-13,3670000,대전광역시 유성구
